,title,text,date,topics,sentiment,tickers
0,Ethereum 2.0's Beacon Chain Just Launched — in a Very Low-key Way,"When Bitcoin's genesis block first launched, a profound message was included within. It quoted a headline from The Times ofContinue Reading The post Ethereum 2.0's Beacon Chain Just Launched — in a Very Low-key Way appeared first on CoinMarketCap Blog.","Tue, 01 Dec 2020 10:46:38 -0500",['ethereum'],Positive,['ETH']
1,How Many Users Have Already Locked Up $20K to Join Ethereum 2.0?,"Ethereum is moving from a proof-of-work blockchain, where computing power determines rewards, to a proof-of-stake platform (dubbed Ethereum 2.0), whereContinue Reading The post How Many Users Have Already Locked Up $20K to Join Ethereum 2.0? appeared first on CoinMarketCap Blog.","Tue, 01 Dec 2020 12:21:53 -0500",['ethereum'],Neutral,['ETH']
2,"Ethereum 2.0 Launch, Bitcoin Challenges $20,000.","Ethereum 2.0's beacon chain goes live, heralding the network's ambitious upgrade to provide scalability, usability and payments solutions. Bitcoin hits a new all-time high just shy of $20,000, Coinbase reveals they were behind MicroStrategy's $425 million bitcoin purchases and Google search trends for “bitcoin price” hit an 18-month high.","Tue, 01 Dec 2020 18:18:17 -0500","['ethereum', 'bitcoin']",Positive,"['BTC', 'ETH']"
3,Ethereum & Bitcoin Eye Protocol Upgrades,"Powered by Every week, IntoTheBlock brings you on-chain analysis of top news stories in the crypto space. Leveraging blockchain's publicContinue Reading The post Ethereum & Bitcoin Eye Protocol Upgrades appeared first on CoinMarketCap Blog.","Wed, 02 Dec 2020 08:26:59 -0500","['ethereum', 'bitcoin', 'upgrade']",Positive,"['BTC', 'ETH']"
4,"Kraken Invests $150,000 in Ethereum Projects via Gitcoin",The US crypto exchange is matching donations raised for the world's most-used blockchain network.,"Thu, 03 Dec 2020 09:31:21 -0500",['ethereum'],Positive,['ETH']
5,StrongBlock launches “Nodes as a Service” in Ethereum 2.0 era,"StrongBlock, a protocol designed to reward and reinforce the world's expanding blockchain infrastructure, today announced the launch of its Nodes as a Service (NaaS) platform, it said in a release shared with CryptoSlate. The post StrongBlock launches “Nodes as a Service” in Ethereum 2.0 era appeared first on CryptoSlate.","Thu, 03 Dec 2020 10:00:18 -0500",['ethereum'],Positive,['ETH']
6,Top DeFi protocol Aave rolls out v2: native Ethereum token instantly spikes 8%,"Leading decentralized finance protocol Aave has just rolled out its biggest update yet: v2, or version 2. The post Top DeFi protocol Aave rolls out v2: native Ethereum token instantly spikes 8% appeared first on CryptoSlate.","Thu, 03 Dec 2020 12:44:06 -0500",['ethereum'],Positive,"['AAVE', 'ETH']"
7,How IRS Tax Rules May Apply to Ethereum 2.0,The IRS has yet to provide specific guidance on how proof-of-stake networks such as Ethereum 2.0 will be taxed. But these experts have some ideas.,"Thu, 03 Dec 2020 17:58:20 -0500","['ethereum', 'taxes']",Neutral,['ETH']
8,1 Million ETH Gets Locked up in Ethereum 2.0,"Over $600 million is now staked on the world's most-used blockchain, just days after its ‘beacon chain' launched.","Fri, 04 Dec 2020 04:43:02 -0500",['ethereum'],Negative,['ETH']
9,Bitcoin ATH & ETH 2.0 Launch,"Powered by Every week, IntoTheBlock brings you on-chain analysis of top news stories in the crypto space. Leveraging blockchain's publicContinue Reading The post Bitcoin ATH & ETH 2.0 Launch appeared first on CoinMarketCap Blog.","Fri, 04 Dec 2020 06:29:09 -0500",['bitcoin'],Positive,"['BTC', 'ETH']"
10,"3 reasons why Ethereum price should reach USD 1,000 again, and climb to new highs","2020 has been a great year for cryptocurrencies, especially for Ethereum. Advancements in the DeFi infrastructure, big tech using blockchains, and having more interest in using the cryptocurrency pushed prices very high, without forming any kind of a 2017 bubble.","Fri, 04 Dec 2020 07:30:00 -0500",['ethereum'],Positive,['ETH']
11,Ethereum Transaction Volumes Hit $41 Billion in November,"Decentralized finance platforms were responsible for 99% of Ethereum transaction volume last month, says DappRadar.","Fri, 04 Dec 2020 09:12:11 -0500",['ethereum'],Positive,['ETH']
12,DeFi Catches up to Ethereum 2.0's Pace: Weekly Market Review by TokenInsight,"Markets usually show better performances around the end of the year, especially as good news tends to be released inContinue Reading The post DeFi Catches up to Ethereum 2.0's Pace: Weekly Market Review by TokenInsight appeared first on CoinMarketCap Blog.","Fri, 04 Dec 2020 10:42:56 -0500",['ethereum'],Neutral,['ETH']
13,Buterin Wants Ethereum 1.0 Gas Fee Upgrade Despite Beacon Chain Going Live,"Ethereum co-founder Vitalik Buterin thanked everyone involved with the beacon chain upgrade, which went live yesterday. After years in the making, Ethereum's proof-of-stake concept is finally a reality.","Fri, 04 Dec 2020 11:28:40 -0500","['ethereum', 'upgrade']",Neutral,['ETH']
14,"‘Ethereum only' investors are growing, according to Grayscale",The asset manager says Ethereum's mass appeal is growing.,"Fri, 04 Dec 2020 13:17:47 -0500",['ethereum'],Positive,['ETH']
15,More than 1M ETH staked for Ethereum 2.0,"The launch of Etherereum 2.0's first version—called Phase 0, or beacon chain—was plagued by numerous delays before the Ethereum Foundation's lead developer officially called for the launch in mid-September. It launched on Dec. 1.","Fri, 04 Dec 2020 13:38:01 -0500",['ethereum'],Positive,['ETH']
16,Celsius' CEO thinks Ethereum could lose its market dominance if this doesn't happen,"It's a possible hurdle to cross, but it could take some time.","Fri, 04 Dec 2020 13:48:20 -0500",['ethereum'],Negative,['ETH']
17,"Price analysis 12/4: BTC, ETH, XRP, LTC, BCH, LINK, DOT, ADA, BNB, XLM","Many altcoins are seeing sharp corrections as Bitcoin price struggles to hold $19,000 as support.","Fri, 04 Dec 2020 15:00:00 -0500",[],Neutral,"['XLM', 'XRP', 'ADA', 'BCH', 'BNB', 'BTC', 'DOT', 'ETH', 'LINK', 'LTC']"
18,"Market Wrap: Bitcoin Dips Below $19,000 as Ether Options Volume Drops","Bitcoin briefly dropped below $19,000 on a low-volume day while the ether options market seems to be in decline for now.","Fri, 04 Dec 2020 16:45:54 -0500",['bitcoin'],Negative,"['BTC', 'ETH']"
19,New Fund Exposes Canada's Traditional Investors to Ethereum,"3iQ has received approval from Canadian regulators for The Ether Fund, a Grayscale-like investment in the growth of Ethereum.","Fri, 04 Dec 2020 18:09:58 -0500",['ethereum'],Positive,['ETH']
20,Ethereum options volume hits record high—but why is demand surging?,The volume of the Ethereum options market hit a record high as the demand for ETH increased in recent weeks. The post Ethereum options volume hits record high—but why is demand surging?,"Fri, 04 Dec 2020 19:00:07 -0500",['ethereum'],Positive,['ETH']
21,"Top DeFi Coins Maker, Aave, and YFI Correct 10% as ETH Slides","Top decentralized finance (DeFi) coins have undergone a severe correction over the past day. Leading names such as MakerDAO's Maker (MKR), Aave's AAVE, Yearn.finance's YFI, amongst others, are down 10 percent in the past day.","Fri, 04 Dec 2020 20:36:59 -0500",[],Negative,"['AAVE', 'ETH', 'YFI']"
22,CNN Talks Ethereum and Altcoins In Recent Business Article,"While Bitcoin has been the center of attention for the past two weeks, Ethereum has started to garner traction again. CNN recently covered altcoins in an article published in its Business column, highlighting trends in non-BTC cryptocurrencies.","Fri, 04 Dec 2020 22:35:56 -0500",['ethereum'],Neutral,['ETH']
23,Ethereum community explodes over proposed stablecoin act from U.S. representatives,The crypto community was slammed with news earlier this week that United States House representatives are looking to crack down on stablecoins. The post Ethereum community explodes over proposed stablecoin act from U.S. representatives appeared first on CryptoSlate.,"Sat, 05 Dec 2020 08:22:28 -0500",['ethereum'],Negative,['ETH']
24,"DeFi Hits 1 Million Users, Ethereum Usage Surging",There are now over one million DeFi users.  Dune Analytics has published data analyzing the usage of key DeFi protocols.,"Sat, 05 Dec 2020 09:34:10 -0500",['ethereum'],Positive,['ETH']
25,Ethereum ETF to debut on the Toronto Stock Exchange,"First conceived by Vitalik Burterin in Ontario, Ethereum is now available to Canadians in the form of an ETF.","Sat, 05 Dec 2020 10:30:33 -0500",['ethereum'],Positive,['ETH']
26,Ethereum Addresses Holding 1 ETH Tops All-Time High,Interest in Ethereum continues to grow as the price heats up.,"Sat, 05 Dec 2020 14:54:13 -0500",['ethereum'],Positive,['ETH']
27,Ethereum is Maturing: Grayscale Says ETH is Becoming an Asset Class,Ethereum is maturing as Grayscale says ETH is turning into an asset class with a new group of investors prioritizing it,"Sat, 05 Dec 2020 16:54:34 -0500",['ethereum'],Positive,['ETH']
28,SushiSwap's SUSHI Surges 20% Again After Ethereum Price Correction,"SushiSwap's native token SUSHI is surging higher after a correction in the price of Ethereum, which reflected poorly on DeFi. SUSHI is currently up by 20% in the past 24 hours alone, making it the best-performing Ethereum-based large-cap digital asset.","Sat, 05 Dec 2020 20:00:38 -0500",['ethereum'],Positive,"['ETH', 'SUSHI']"
29,Ethereum (ETH) Needs To Clear $605 For Hopes of a Fresh Rally,Ethereum is consolidating in a contracting range above the $565 support against the US Dollar. ETH price must surpass $05 to start a strong upward move towards $625 and higher.,"Sun, 06 Dec 2020 01:28:32 -0500",['ethereum'],Neutral,['ETH']
30,This privacy-focused Ethereum token is up 400% in a week after Coinbase listed it,It appears that the “Coinbase Effect” is back. The post This privacy-focused Ethereum token is up 400% in a week after Coinbase listed it appeared first on CryptoSlate.,"Sun, 06 Dec 2020 08:20:00 -0500",['ethereum'],Positive,"['ETH', 'NU']"
31,"Ethereum Hits Highest ""Realized” Price Since 2018 Bull Run",Ethereum's metrics just keep hitting new highs.,"Sun, 06 Dec 2020 11:12:28 -0500",['ethereum'],Positive,['ETH']
32,Ethereum Robust Enough to Withstand US Shutdown Attempt,The Beacon Chain of ETH 2.0 launch now lets the Ethereum community use the newly implemented proof-of-stake (POS) methodology to validate transactions on the chain. Rewards come in the form of ETH.,"Sun, 06 Dec 2020 11:36:38 -0500",['ethereum'],Positive,['ETH']
33,CEO of $10 billion fund expects Ethereum to gain Wall Street traction this year,Crypto adoption on Wall Street is booming. The post CEO of $10 billion fund expects Ethereum to gain Wall Street traction this year appeared first on CryptoSlate.,"Sun, 06 Dec 2020 12:00:43 -0500",['ethereum'],Positive,['ETH']
34,Grayscale Sees a New Group of Ethereum-First Investors,DeFi has given Ethereum a significant boost since this summer and the blockchain official kicked off its journey to its upgrade after securing enough funds for its deposit contract.,"Sun, 06 Dec 2020 13:09:26 -0500",['ethereum'],Positive,['ETH']
35,Grayscale: New Investors Want Ethereum,"Little Brother grows up Bitcoin's little brother Ethereum is starting to attract more attention. In an interview with Bloomberg, Michael Sonnenshein, Managing Director of Grayscale Investments, discussed growing interest in the cryptocurrency.","Sun, 06 Dec 2020 13:13:43 -0500",['ethereum'],Positive,['ETH']
36,"Top 5 cryptocurrencies to watch this week: BTC, ETH, XMR, VET, AAVE",Select altcoins are moving higher as Bitcoin price gains strength and consolidates within a bull pennant.,"Sun, 06 Dec 2020 14:15:46 -0500",[],Positive,"['AAVE', 'BTC', 'ETH', 'XMR', 'VET']"
37,Ethereum's Macro Outlook Shapes Up as Technical Strength Grows,"Ethereum has been closely tracking Bitcoin as of late, which has caused it to see some consolidation Where the crypto trends in the mid-term should depend largely on ETH's continued reaction to the $600 region Just as $19,000 is a key level for Bitcoin at the present moment, $600 is a crucial level for ETH, as breaks above this level often lead to inflows of buying pressure Where the cryptocurrency trends in the days and […]","Sun, 06 Dec 2020 15:00:59 -0500",['ethereum'],Positive,['ETH']
38,Yearn.finance (YFI) Inches to $30k; Flashes Similarities to ETH in 2016,"Yearn.finance's YFI governance token has been inching closer and closer to the $30,000 level for the past few days and weeks, with the selling pressure here proving to be somewhat significant on multiple occasions. Overall, the crypto's price is currently caught within a holding pattern similar to that seen by Bitcoin and Ethereum, Until the […]","Sun, 06 Dec 2020 18:00:27 -0500",[],Positive,"['ETH', 'YFI']"
39,"Ethereum, Ripple's XRP And Chainlink Are All Beating Bitcoin—These Minor Cryptocurrencies Are Too","After bitcoin's rally has helped catapult cryptocurrencies back into the headlines, investors are eyeing the sky-high returns of smaller so-called ""alt coins""—including ethereum, Ripple's XRP and chainlink...","Sun, 06 Dec 2020 19:10:00 -0500","['ethereum', 'bitcoin']",Positive,"['ETH', 'LINK', 'XRP']"
40,"TA: Ethereum Lacks Momentum Above $600, Why Holders Are Still Safe",Ethereum is facing a strong resistance near the $600 and $602 levels against the US Dollar. ETH price must settle above $602 to start a strong increase in the near term.,"Mon, 07 Dec 2020 00:28:41 -0500",['ethereum'],Positive,['ETH']
41,"One Percent of Ethereum Supply Already Staked, 6% in DeFi","Over one percent of the entire supply of Ethereum has now been staked on the deposit contract according to co-founder Vitalik Buterin. Staking for ETH 2.0 got off to a slow start when the deposit contract was officially deployed last month, but the target was hit with a late spurt, and the new blockchain launched … Continued The post One Percent of Ethereum Supply Already Staked, 6% in DeFi appeared first on BeInCrypto.","Mon, 07 Dec 2020 01:11:44 -0500",['ethereum'],Positive,['ETH']
42,Bitcoin Treads Water While Ethereum Continues to Set New Records,"Bitcoin's price settled over the weekend, but Ethereum grew thanks to the boom in Defi and Eth 2.0 rollout bringing more users.","Mon, 07 Dec 2020 04:07:22 -0500","['ethereum', 'bitcoin']",Neutral,"['BTC', 'ETH']"
43,Ethereum Expects to Hit $750 as Price Holds Key Technical Support,"Ethereum blockchain native's token ETH expects to reach $750 in the fourth quarter as it holds above a crucial technical support level. On Monday, the ETH/USD exchange rate attempted to breach a short-term ascending trendline for the tenth time since November 26.","Mon, 07 Dec 2020 06:18:37 -0500","['ethereum', 'tanalysis']",Positive,['ETH']
44,Apple Co-Founder Launches New Ethereum Token,"Apple co-founder Steve Wozniak has announced a new project called Efforce, a blockchain-based marketplace to exchange tokenized energy. After Apple, this is the second company that Wozniak has co-founded after a gap of 45 years.","Mon, 07 Dec 2020 06:30:58 -0500",['ethereum'],Positive,"['ETH', 'WOZX']"
45,Secret Network announces launch of programmable privacy on Ethereum,"Secret Network, a Layer 1 privacy-enabled blockchain, has announced that it will be bringing programmable privacy to the Ethereum blockchain on 14 December. The mainnet, scheduled to launch next week, will enable the Secret Ethereum Bridge that will create bridge mining opportunities for ETH and ERC-20 holders.","Mon, 07 Dec 2020 07:00:20 -0500",['ethereum'],Positive,['ETH']
46,Ethereum Network Showing Strength with Low Gas Prices and High Fee Totals,"When looking into the actual usability and functionality of the Ethereum network, it shows a similar story of mass usage compared with other major blockchains like Bitcoin. Not only is Ethereum currently significantly cheaper to transact with than Bitcoin, charging on average $0.30 for a normal Ethereum transaction, but it's also generating significantly more total … Continued The post Ethereum Network Showing Strength with Low Gas Prices and High Fee Totals appeared first on BeInCrypto.","Mon, 07 Dec 2020 07:34:29 -0500",['ethereum'],Positive,['ETH']
47,"Why aren't Bitcoin, Ethereum as leveraged as Sushi, VeChain?","The ratio of the 24-hour Open Interest [OI] change and market cap seemed to highlight an interesting trend on the question of which coin is the most leveraged in the market. Interestingly, the most leveraged cryptocurrency isn't Bitcoin or any other crypto in the top 10 of CoinMarketCap's charts.","Mon, 07 Dec 2020 09:00:41 -0500","['ethereum', 'bitcoin']",Neutral,"['BTC', 'ETH', 'VET', 'SUSHI']"
48,Ethereum Price Analysis: ETH Plotting a Huge Move Following Consolidation at $600,"Ethereum saw a small 1.1% price hike today as the coin struggles to break the upper boundary of a symmetrical triangle. Against Bitcoin, it is also trading in a triangle and is close to the apex where a breakout can be expected.","Mon, 07 Dec 2020 09:13:32 -0500","['ethereum', 'tanalysis']",Neutral,['ETH']
49,"Bitcoin, Ethereum and Tether Sneak Into Hit TV Show ""Shameless""",The hit Showtime show about the irrepressible Gallaghers had some crypto time in its final premiere episode,"Mon, 07 Dec 2020 09:23:58 -0500","['ethereum', 'stablecoins', 'bitcoin']",Positive,"['BTC', 'ETH', 'USDT']"
0,1% of all ETH is now staked on Ethereum 2.0's beacon chain,"Over 1% of Ethereum's circulating supply is now locked up on the project's new beacon chain, just one week after its launch. The post 1% of all ETH is now staked on Ethereum 2.0's beacon chain appeared first on CryptoSlate.","Mon, 07 Dec 2020 10:30:02 -0500",['ethereum'],Positive,['ETH']
