date,event_name
2021-03-22,Unconfirmed Report From Court Hearing May Have Sparked XRP Rally
2021-03-22,"Bitcoin Hits $100,000 in Turkish P2P Markets as Lira Plummets"
2021-03-20,Binance Smart Chain hit by $2.4 Million TurtleDex exit scam
2021-03-19,Latin America Gets its First Bitcoin ETF
2021-03-19,Meitu Buys $50 Million worth of Bitcoin and Ethereum
2021-03-18,Lindsay Lohan to Release Exclusive NFT Collectibles on TRON
2021-03-18,Bank of America slams Bitcoin in research note
2021-03-17,Morgan Stanley to offer Bitcoin to their richest investors
2021-03-17,US judge denies request to add XRP holders as intervenors in SEC's lawsuit
2021-03-17,VISA says it's developing a Bitcoin and crypto business
2021-03-17,"Grayscale offers five new crypto trusts based on BAT, LINK, FIL, MANA, LPT"
2021-03-16,Ripple Asks Court to Force SEC to Produce Documents Regarding Bitcoin and Ethereum
2021-03-16,Bitcoin falls after weekend rally tops $61K
2021-03-15,Americans could spend $40 Billion in stimulus on bitcoin
2021-03-15,"Another DeFi Hack: PancakeSwap, Cream Finance Websites Compromised"
2021-03-15,India To Introduce All Out Cryptocurrency Ban Targeting Miners and Traders: Report
2021-03-13,"Bitcoin Reaches New All-Time High, Taps $60,000"
2021-03-13,Microstrategy Purchases Additional 262 Bitcoin for $15 Million
2021-03-12,Binance reportedly under CFTC investigation over US-based trading activity
2021-03-12,U.S. SEC Now Seeks Personal Information of Ripple Executives In Lawsuit Investigation
2021-03-11,"Bitcoin breaks $57,000 as on-chain data turns “mostly bullish”"
2021-03-10,"Ripple settles with YouTube, but XRP fails to react"
2021-03-10,Grayscale Parent DCG Buying $250 Million Worth of GBTC
2021-03-10,JPMorgan launching 'crypto exposure basket' featuring MicroStrategy and Square
2021-03-09,MoneyGram and Ripple part ways over XRP lawsuit
2021-03-08,PayPal Confirms Curv Acquisition
2021-03-08,Norwegian investment firm allocates $58M to Bitcoin and crypto ventures
2021-03-05,MicroStrategy Snaps Up Another $10 Million in Bitcoin
2021-03-04,"Bitcoin dips below $50,000 even as a “sell-side crisis” emerges"
2021-03-04,Dallas Mavericks now accepting Dogecoin as payment
2021-03-04,Ripple CEO Gives Two Reasons to Dismiss SEC Lawsuit
2021-03-04,Enjin Introduces Scaling Solutions to Support NFT Growth
2021-03-03,"Bullish Bitcoin finally breaks $50,000"
2021-03-02,"Bitfarms Buys Another 48,000 MicroBT Miners"
2021-03-02,Shark Tank's Kevin O'Leary allocates 3% of portfolio to Bitcoin
2021-03-02,"MoneyGram Slapped With Lawsuit Over Ripple, XRP Partnership"
2021-03-02,Crypto.com to sponsor Aston Martin's Formula 1 team
2021-03-02,Cboe Applies to List Vaneck Bitcoin ETF through SEC Filing
2021-03-01,Goldman Sachs reopens Cryptocurrency trading desk
2021-03-01,Fidelity's Global Macro head recommends Bitcoin investment
2021-03-01,Tezos Gets Integrated Into Computational Tool Wolfram Alpha
2021-03-01,MicroStrategy Adds $15 Million to Its Bitcoin Treasury
2021-03-01,"Bitcoin is at a ""tipping point,"" Citi says"
2021-02-28,Bitcoin Falls Below $44k As Crypto Prices Continue to Slide
2021-02-26,Grayscale Considering 23 Cryptocurrencies for New Investment Products
2021-02-26,FD7 initiates conversion of BTC assets to ADA and DOT
2021-02-25,Coinbase Files S-1 With the U.S. SEC to Go Public
2021-02-24,Craig Wright Sues Bitcoin Devs to Retrieve £3.5B in ‘Stolen' BTC
2021-02-24,CoinShares Launches Ethereum-Backed ETP Worth $75 Million
2021-02-24,MicroStrategy Scoops Up $1 Billion Worth of Bitcoin
2021-02-24,Square announces $170M bitcoin buy
2021-02-23,US Secretary of Treasure Yellen Says Bitcoin is Inefficient for Transactions
2021-02-23,Tether And Bitfinex Settle With the New York Attorney General's Office
2021-02-22,MoneyGram suspends partnership with Ripple
2021-02-22,XRP jumps ahead of Ripple-US SEC hearing today
2021-02-22,"Bitcoin falls below $50,000, hits lowest since mid-February"
2021-02-20,"Ethereum price eclipses $2,000 for All-time High"
2021-02-20,"Bitcoin Hits fresh high above $55,000, showing sustained momentum"
2021-02-19,"OKCoin Bans Bitcoin Cash, BSV Citing ‘Misinformation War'"
2021-02-19,MicroStrategy raises USD 1B to buy more Bitcoin
2021-02-19,Bitcoin hits $1 trillion market cap
2021-02-19,Binance Coin flips Tether to become third-largest cryptocurrency by market cap
2021-02-19,Elon Musk: Bitcoin Is 'Less Dumb' Than Cash
2021-02-19,The Motley Fool makes $5 Million Bitcoin investment
2021-02-18,Bill Gates Takes a “Neutral” Stance on Bitcoin
2021-02-18,"Binance Coin (BNB) Gains Nearly 1,900% Since March Lows"
2021-02-18,"Ethereum (ETH) Targets $2,000 after Trading Sideways"
2021-02-17,"Bitcoin hits $52,000, reaching new all-time high"
2021-02-17,Asset manager BlackRock ‘is starting to dabble' in Bitcoin market
2021-02-17,MicroStrategy Ups Its New Mega Bitcoin Deal to Over USD 1B
2021-02-17,Dubai Free Zone Becomes First UAE Government Entity to Accept Bitcoin
2021-02-17,German Cannabis Company Bets on Bitcoin Instead of the Euro
2021-02-17,"Microsoft has no plans to make Tesla-like move into Bitcoin, says president"
2021-02-16,Settlement not in the cards in SEC vs. Ripple case
2021-02-16,$600 Million: MicroStrategy Announces Plan to Raise Money to Buy More Bitcoin
2021-02-16,"Bitcoin Price Breaks $50,000 Barrier"
2021-02-15,Uniswap Becomes First DEX to Hit $100 Billion Volume
2021-02-15,Elon Musk Will Give “Full Support” to Dogecoin if Big Holders Sell
2021-02-13,Bitcoin payments firm BitPay now supports Apple Pay
2021-02-13,Morgan Stanley to consider Bitcoin for $150 billion investment wing
2021-02-13,Cream Finance Drained of $37.5 Million in Major Exploit
2021-02-12,Jack Dorsey and Jay-Z to collaborate on Bitcoin development fund
2021-02-12,Miami council supports mayor's move to offer city worker salaries in Bitcoin
2021-02-11,"Bitcoin has reached its latest high above $48,000"
2021-02-11,PayPal will extend Crypto services to Venmo and U.K.
2021-02-11,Amazon Hints at Plans for a Digital Currency Payments Project
2021-02-11,US Treasury Secretary Yellen says crypto misuse is a growing problem
2021-02-11,"Uber CEO Says Company to Consider Crypto for Rides, Not Its Balance Sheet"
2021-02-11,BNY Mellon to introduce Bitcoin custody plans
2021-02-11,ECB's Lagarde says central banks holding Bitcoin is 'out of the question'
2021-02-10,Mastercard to support Cryptocurrency payments in 2021
2021-02-10,Dogecoin gets lift from Elon Musk tweet
2021-02-10,"Twitter Considering Bitcoin Options, Including on Balance Sheet, Exec Says"
2021-02-09,Matic Network Becomes Polygon and Focuses on Ethereum Scaling
2021-02-09,Hackers post racist and offensive messages to Blockfolio users
2021-02-09,"Bitcoin roars past $47,000 to touch new ATH"
2021-02-08,Tesla Gets $1.5 Billion Worth of Bitcoin
2021-02-08,Ethereum Futures Launch on World's Largest Derivatives Exchange
2021-02-07,Snoop Dogg joins Gene Simmons and Elon Musk in pumping Dogecoin
2021-02-06,Bitcoin price hits $40k As crypto rally continues
2021-02-05,"Venmo, PayPal's crypto focused app is under investigation"
2021-02-05,Twitter CEO Jack Dorsey Has Set up His Own Bitcoin Node
2021-02-04,Elon Musk boosts Dogecoin with a rocket tweet
2021-02-04,SBI Group launches XRP Lending
2021-02-03,Ethereum Celebrates New All-Time High After Three Years
2021-02-03,Visa Now Lets Bank Clients Offer Bitcoin Services
2021-02-02,"Ethereum hits new all time high above $1,500"
2021-02-02,USDC Stablecoin Goes Live on the Stellar Blockchain
2021-02-02,Microstrategy Buys Another $10 Million Worth of BTC in Cash
2021-02-01,XRP plunged more than 50% after Its latest pump
2021-02-01,Grayscale Reopens Its Ethereum Trust to Investors
2021-02-01,KISS Co-Founder Climbs Aboard Xrp and Doge Buying Spree
2021-02-01,Elon Musk Sees 'Broad Acceptance' For Bitcoin
2021-01-30,India Proposes Cryptocurrency Ban
2021-01-29,Ripple files response to SEC's XRP lawsuit
2021-01-29,Elon Musk Puts Bitcoin as His Twitter Bio: BTC Price Spikes
2021-01-29,Dogecoin Explodes in GameStop-Like Copycat Rally
2021-01-28,Bridgewater's Ray Dalio Sends Stronger Bitcoin Signal
2021-01-28,Dogecoin Surges As Reddit Traders Push To Make It The Crypto GameStop
2021-01-28,Guggenheim CIO Says Institutional Demand Not There to Sustain Bitcoin Above $30K
2021-01-27,Bitcoin Facing Critical Support At $30K
2021-01-27,Florida class action lawsuit alleges Ripple violated securities laws
2021-01-25,More institutional adoption as Marathon Patent Group purchases $150M in Bitcoin
2021-01-25,"Ethereum hits new ATH, could rally further above $1,500"
2021-01-22,Demand for Bitcoin Miners Pressures Chip Makers Amid Global Shortage
2021-01-22,VanEck Seeks SEC Approval To Launch An ETF Tracking Crypto Companies Performance
2021-01-22,MicroStrategy Buys Another $10 Million in Bitcoin
2021-01-22,"Bitcoin Briefly Drops Below $30,000 Before Reclaiming"
2021-01-21,Acting chair of SEC named as Gary Gensler awaits confirmation
2021-01-21,Binance Gets Officially Unbanned in Russia
2021-01-21,Guggenheim CIO Has Major Bearish Warning for Bitcoin Holders
2021-01-21,Former Ripple advisor Michael Barr to head OCC
2021-01-21,"Craig Wright Demands Bitcoin Websites Remove Whitepaper, Citing Copyright Infringement"
2021-01-20,BlackRock May Start Trading Bitcoin Futures in its Funds
2021-01-20,Firo Gets Hit by 51% Attack: 300 Blocks Rolled Back
2021-01-19,Treasury Pick Janet Yellen: Cryptocurrency Crime 'Of Particular Concern'
2021-01-19,"Bitcoin overtakes tech as most crowded trade, says Bank of America survey"
2021-01-19,"Ethereum Tops $1,400 Almost Breaking Beyond 2018 All-Time High"
2021-01-19,Jed McCaleb Sells 28.6 million XRP
2021-01-14,"Bitcoin returns to USD 40,000 after short-lasting correction"
2021-01-14,Polkadot skyrockets nearly 30% to $10 billion market cap
2021-01-14,Grayscale to Dissolve XRP Trust Due to SEC's Ripple Lawsuit
2021-01-13,Anchorage becomes first OCC-Approved National Crypto Bank
2021-01-13,ECB's Lagarde calls for regulating Bitcoin
2021-01-12,Fidelity doubles down on Hong Kong crypto operator
2021-01-12,PayPal's new crypto unit just traded over $240 million in a single day
2021-01-10,BlockOne CTO and Co-Founder Dan Larimer resigns
2021-01-06,"Bitcoin breaks above $35,000 to touch new high"
2021-01-05,Major Ripple investor sues firm following SEC action
2021-01-05,Grayscale removes XRP from its Digital Large Cap Fund
2021-01-05,"JPMorgan predicts Bitcoin price could rise over $146,000"
2021-01-04,Federally chartered banks can facilitate stablecoin payments
2021-01-04,Ukraine selects Stellar to develop a digital currency
2021-01-04,"Bitcoin sees first 10% retraction since breaking $20,000"
2021-01-03,Ethereum trades above $800 for the first time since 2018
2021-01-02,"Bitcoin soars past $30,000 in latest record high"
2021-01-01,"Monero, Zcash, Dash to be removed from Bittrex"
2020-12-31,eToro to delist XRP ahead of planned IPO
2020-12-30,Binance U.S. to Delist XRP
2020-12-30,VanEck files SEC registration for new Bitcoin ETF
2020-12-30,Bittrex delists XRP in wake of SEC proceedings against Ripple
2020-12-30,Bitcoin (BTC) locks in new all-time high before 2020 close
2020-12-29,India Considers 18% GST on Bitcoin Transactions
2020-12-28,Coinbase to Suspend XRP Trading
2020-12-28,OKCoin to Suspend XRP Trading and Deposits on January 4
2020-12-28,Cover Protocol Exploited: The DeFi Token Plunged 80%
2020-12-26,"Bitcoin explodes past $26,500 in post-christmas rally"
2020-12-25,Bitstamp to halt trading of XRP
2020-12-25,Bitcoin surges to hit new all-time high on Christmas Day
2020-12-25,XRP price just surged 40% in a surprise relief rally
2020-12-24,Elad Roisman Named Acting Chairman of SEC
2020-12-24,Binance Korea to shut down exchange due to low trading volume
2020-12-24,SEC Issues Statement For Digital Asset Brokers Holding Security Tokens
2020-12-24,Bitwise Liquidates XRP Position After Ripple's SEC Lawsuit
2020-12-24,XRP Token Plunges Following the Announcement of SEC Charges Against Ripple
2020-12-22,Wirex becomes principal member of Visa in Europe
2020-12-22,SEC Charges Ripple With $1.3 Billion Unregistered Security Offering
2020-12-22,SEC plans to Sue Ripple
2020-12-21,Scaramucci's SkyBridge launching a Bitcoin Fund
2020-12-21,MicroStrategy Completes $650 Million Bitcoin Buy
2020-12-20,Dogecoin (DOGE) up 20% on the day after Elon Musk tweet
2020-12-19,"Bitcoin rallies towards $24,000 as market-wide uptrend continues"
2020-12-18,FinCEN proposes new KYC rules for crypto wallets
2020-12-18,Coinbase chooses Goldman Sachs to handle upcoming IPO
2020-12-17,Crypto Exchange Coinbase Is Officially Going Public
2020-12-17,Crypto firm Paxos raises $142 million in latest funding round
2020-12-17,Bitcoin Surges Above $22K
2020-12-16,Bitcoin breaks another major level as price crosses $20000!
2020-12-15,Ruffer Is the Latest Billion-Dollar Firm to Bet on Bitcoin
2020-12-15,SBI Financial Acquires UK Crypto Trading Desk B2C2
2020-12-15,Pornhub Only Accepts Crypto for its Premium Membership
2020-12-15,Italian Banca Generali to debut crypto services next year
2020-12-14,China not planning to replace global fiat with digital yuan
2020-12-14,Ukrainian billionaire's steel factory in Kentucky is mining Bitcoin
2020-12-14,CEO of DeFi Insurer Nexus Mutual Hacked for $8M in NXM Tokens
2020-12-14,JPMorgan Estimates Institutions Could Put $600 Billion Into Bitcoin
2020-12-11,MicroStrategy Completes $650 Million Raise to Buy More Bitcoin
2020-12-10,Insurance firm MassMutual buys $100 million worth of bitcoin
2020-12-10,Singapore's largest bank DBS sets up crypto exchange platform
2020-12-10,Fidelity Set to Accept Bitcoin for Cash Loans
2020-12-10,JPMorgan: Gold's Price Could Suffer As Bitcoin Started Taking Its Market Share
2020-12-10,Crypto exchange Bitso raises $62 million as it eyes expansion in Brazil
2020-12-10,French Finance Ministry confirms that stricter rules are coming for the crypto sector
2020-12-08,Square Puts $10 Million Toward a Cleaner Bitcoin Ecosystem
2020-12-08,MicroStrategy will issue $400 million in securities to buy more Bitcoin
2020-12-08,Facebook may face a lawsuit over its crypto project's rebranding
2020-12-07,Biden Administration Likely to Embrace Crypto to Make US More Competitive: Circle CEO
2020-12-07,G7 Nations Express ‘Strong Support' For Crypto Regulation
2020-12-05,Apple Co-Founder Launches New Ethereum Token
2020-12-05,New Congressional Bill Seeks to Regulate Stablecoins
